StartTime(UTC),EndTime(UTC),Type,Severity
2016-10-01 23:00:00,2016-10-02 00:00:00,Rain,Moderate
2016-10-06 12:00:00,2016-10-06 13:30:00,Rain,Light
2016-10-06 13:30:00,2016-10-06 15:00:00,Rain,Moderate
2016-10-06 15:00:00,2016-10-06 17:00:00,Rain,Light
2016-10-06 17:00:00,2016-10-06 17:45:00,Rain,Moderate
2016-10-06 17:45:00,2016-10-06 19:00:00,Rain,Light
2016-10-06 22:15:00,2016-10-06 23:00:00,Rain,Light
2016-10-06 23:00:00,2016-10-06 23:00:00,Rain,Heavy
2016-10-07 00:00:00,2016-10-07 01:00:00,Rain,Light
2016-10-11 08:00:00,2016-10-11 09:00:00,Rain,Light
2016-10-12 17:00:00,2016-10-12 22:45:00,Rain,Light
2016-10-12 22:45:00,2016-10-12 23:00:00,Rain,Moderate
2016-10-12 23:00:00,2016-10-12 23:30:00,Rain,Light
2016-10-13 00:00:00,2016-10-13 00:45:00,Rain,Light
2016-10-13 03:00:00,2016-10-13 04:00:00,Rain,Light
2016-10-16 11:15:00,2016-10-16 12:00:00,Rain,Light
2016-10-16 12:00:00,2016-10-16 12:15:00,Rain,Moderate
2016-10-16 12:15:00,2016-10-16 13:15:00,Rain,Heavy
2016-10-16 13:30:00,2016-10-16 13:45:00,Rain,Light
2016-10-16 14:00:00,2016-10-16 15:00:00,Rain,Light
2016-10-20 05:00:00,2016-10-20 06:00:00,Rain,Light
2016-10-26 00:00:00,2016-10-26 03:00:00,Rain,Light
2016-10-26 08:00:00,2016-10-26 14:00:00,Rain,Light
2016-10-26 17:00:00,2016-10-26 19:00:00,Rain,Moderate
2016-10-26 19:30:00,2016-10-26 22:30:00,Rain,Light
2016-10-26 22:30:00,2016-10-26 23:00:00,Rain,Moderate
2016-10-26 23:00:00,2016-10-27 05:15:00,Rain,Light
2016-10-30 10:00:00,2016-10-30 10:45:00,Rain,Light
2016-10-30 10:45:00,2016-10-30 11:15:00,Rain,Moderate
2016-10-30 11:15:00,2016-10-30 12:00:00,Rain,Light
2016-11-02 18:00:00,2016-11-02 21:00:00,Rain,Light
2016-11-02 21:45:00,2016-11-02 22:15:00,Rain,Light
2016-11-02 22:45:00,2016-11-02 23:00:00,Rain,Light
